RA,ANO,FASE,PEDRA,INDE,IAA,IEG,IPS,IDA,IPV,IAN,DEFASAGEM,GENERO,IDADE,ANO_INGRESSO,PONTO_VIRADA,IPP
RA-47,2022,5,QUARTZO,5.677,7.9,6.3,7.5,2.1,7.042,5.0,-2,Feminino,17,2022,Não,7.479166666599999
RA-48,2022,5,AMETISTA,8.006,6.7,8.4,7.5,8.1,8.5,10.0,0,Feminino,15,2017,Sim,7.75
RA-49,2022,5,AGATA,6.304,7.5,7.4,7.5,3.9,7.042,5.0,-2,Feminino,17,2022,Não,7.4208333334
RA-50,2022,5,AMETISTA,7.138,7.5,8.4,7.5,7.8,7.542,2.5,-3,Feminino,18,2022,Não,7.833333333400001
RA-51,2022,5,AGATA,6.488,8.8,7.6,7.5,5.0,6.5,5.0,-2,Feminino,17,2022,Não,7.0604166666
RA-52,2022,5,AMETISTA,7.861,9.6,8.9,7.5,6.2,7.5,10.0,2,Masculino,13,2018,Não,7.6479166666
RA-53,2022,5,AGATA,6.725,9.2,7.0,7.5,7.0,6.458,5.0,-2,Masculino,17,2022,Não,7.40625
RA-54,2022,5,AGATA,6.058,7.9,6.9,7.5,4.8,6.125,5.0,-1,Feminino,16,2022,Não,6.70625
RA-55,2022,5,AGATA,6.576,7.1,7.6,5.6,7.5,6.5,5.0,-1,Feminino,16,2017,Não,7.54375
RA-56,2022,5,TOPAZIO,8.404,10.0,10.0,7.5,7.0,8.25,10.0,0,Feminino,15,2019,Não,8.2104166666
RA-57,2022,5,AMETISTA,7.305,7.1,8.1,5.6,8.4,7.875,5.0,-1,Masculino,16,2017,Não,7.8166666666
RA-58,2022,5,TOPAZIO,8.136,9.6,9.2,6.3,7.2,8.125,10.0,0,Masculino,15,2017,Não,7.975
RA-59,2022,5,AMETISTA,7.642,9.2,9.3,7.5,7.2,7.917,5.0,-2,Masculino,17,2022,Não,7.864583333400001
RA-60,2022,5,QUARTZO,5.537,6.7,6.0,7.5,4.9,6.167,2.5,-3,Feminino,18,2021,Não,7.46875
RA-61,2022,5,AMETISTA,7.533,9.2,7.4,7.5,5.8,7.875,10.0,0,Masculino,15,2021,Não,7.25
RA-62,2022,5,AMETISTA,7.891,8.8,9.4,7.5,9.3,7.25,5.0,-2,Masculino,17,2022,Não,7.791666666599999
RA-63,2022,5,TOPAZIO,8.282,8.3,9.1,8.8,8.7,9.417,5.0,-1,Masculino,16,2018,Sim,8.09375
RA-64,2022,5,AMETISTA,7.368,7.1,8.1,8.1,7.5,8.25,5.0,-1,Masculino,16,2019,Não,7.791666666599999
RA-65,2022,5,AMETISTA,7.712,8.3,7.7,7.5,9.3,7.875,5.0,-2,Feminino,17,2022,Não,8.3541666666
RA-66,2022,5,QUARTZO,5.665,7.5,5.6,7.5,4.5,5.917,5.0,-2,Feminino,17,2022,Não,7.177083333400001
RA-67,2022,5,QUARTZO,5.195,5.8,3.0,7.5,3.6,6.889,5.0,-1,Feminino,16,2019,Não,6.697916666599999
RA-68,2022,5,AGATA,6.438,8.3,6.0,7.5,4.0,7.944,5.0,-1,Masculino,16,2019,Não,6.927083333400001
RA-69,2022,5,QUARTZO,5.718,8.3,6.1,7.5,2.5,6.167,5.0,-1,Masculino,16,2018,Não,7.510416666599999
RA-70,2022,5,QUARTZO,5.712,8.8,6.6,5.0,2.9,6.111,5.0,-1,Feminino,16,2017,Não,6.891666666800001
RA-71,2022,5,QUARTZO,4.332,7.9,2.0,7.5,1.2,5.833,5.0,-2,Feminino,17,2019,Não,6.93125
RA-72,2022,5,AMETISTA,7.64,8.3,7.5,7.5,7.8,8.667,5.0,-2,Feminino,17,2022,Sim,7.770833333400001
RA-73,2022,5,QUARTZO,5.271,7.1,3.0,7.5,3.3,7.278,5.0,-2,Feminino,17,2022,Não,6.885416666599999
RA-74,2022,5,QUARTZO,4.989,9.6,3.3,7.5,2.0,5.833,5.0,-1,Masculino,16,2022,Não,6.5666666666
RA-75,2022,5,QUARTZO,3.915,5.4,3.8,6.3,0.0,4.625,5.0,-1,Feminino,16,2022,Não,6.4395833334
RA-76,2022,5,TOPAZIO,9.105,10.0,9.1,8.1,8.7,9.292,10.0,0,Feminino,15,2017,Sim,8.125
RA-77,2022,5,QUARTZO,3.846,7.1,2.7,5.0,0.7,4.625,5.0,-1,Masculino,16,2019,Não,5.5895833334
RA-78,2022,5,AMETISTA,7.04,8.3,6.6,5.6,7.2,8.0,5.0,-2,Masculino,17,2018,Não,7.125
RA-79,2022,5,AGATA,6.847,5.4,6.3,5.6,8.9,7.292,5.0,-1,Feminino,16,2018,Não,7.4958333334
RA-80,2022,5,AMETISTA,7.29,9.2,8.3,5.0,7.1,7.625,5.0,-1,Feminino,16,2017,Não,7.625
RA-81,2022,5,AMETISTA,7.675,9.2,9.2,5.0,6.0,7.458,10.0,1,Feminino,14,2017,Não,7.354166666599999
RA-82,2022,5,AGATA,6.596,8.8,6.8,7.5,5.5,6.417,5.0,-2,Feminino,17,2022,Não,8.0
RA-83,2022,5,AGATA,6.671,7.9,6.8,7.5,6.8,5.958,5.0,-2,Feminino,17,2022,Não,7.375
RA-84,2022,5,AGATA,6.682,7.1,8.8,5.0,5.8,6.75,5.0,-2,Feminino,17,2018,Não,7.666666666599999
RA-85,2022,5,AGATA,6.243,6.7,7.3,5.0,4.3,5.833,10.0,0,Masculino,15,2022,Não,7.4375
RA-86,2022,5,AMETISTA,7.566,7.5,9.6,5.6,6.7,8.458,5.0,-1,Masculino,16,2016,Sim,7.03125
RA-87,2022,5,TOPAZIO,8.712,8.3,9.6,7.5,8.8,8.5,10.0,0,Masculino,15,2021,Sim,8.925
RA-88,2022,5,AMETISTA,7.498,7.1,9.2,5.6,6.5,9.208,5.0,-2,Masculino,17,2021,Sim,7.375
RA-89,2022,5,AMETISTA,7.323,9.6,7.8,7.5,5.9,8.0,5.0,-1,Masculino,16,2021,Não,7.46875
RA-90,2022,5,TOPAZIO,9.442,10.0,9.7,9.4,8.5,9.75,10.0,2,Feminino,13,2019,Sim,8.65625
RA-91,2022,5,AGATA,6.645,9.2,5.7,5.6,6.6,7.125,5.0,-1,Feminino,16,2016,Não,6.45
RA-92,2022,5,AGATA,6.957,9.2,7.1,5.0,7.4,6.667,5.0,-1,Feminino,16,2016,Não,6.7
RA-93,2022,5,TOPAZIO,8.941,8.3,9.7,8.1,8.5,9.083,10.0,0,Feminino,15,2016,Sim,8.375
RA-94,2022,5,TOPAZIO,8.921,8.3,9.6,8.1,7.7,9.583,10.0,0,Feminino,15,2018,Sim,7.975
RA-95,2022,5,AGATA,6.308,8.3,6.6,7.5,4.8,6.292,5.0,-2,Feminino,17,2022,Não,7.125
RA-96,2022,5,AMETISTA,7.54,9.2,7.8,6.9,6.7,8.5,5.0,-1,Masculino,16,2021,Sim,7.5375
RA-97,2022,5,AMETISTA,7.468,7.5,8.8,5.0,6.9,6.292,10.0,0,Feminino,15,2017,Não,8.0729166666
RA-98,2022,5,TOPAZIO,9.354,8.8,10.0,9.4,8.5,9.667,10.0,0,Feminino,15,2017,Sim,8.78125
RA-99,2022,5,AGATA,6.158,8.8,6.3,7.5,5.0,5.833,5.0,-1,Masculino,16,2019,Não,7.1875
